,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Vs Dribbles Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Past_p90 (defense_Padj_p90),Press_p90 (defense_Padj_p90),Succ Pressures_p90 (defense_Padj_p90),Pressures Def 3rd_p90 (defense_Padj_p90),Pressures Mid 3rd_p90 (defense_Padj_p90),Pressures Att 3rd_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),ShSv_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),Drib_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types Drib_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),AvgDist_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),TotDist Passed_p90 (passing_p90),PrgDist Passed_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xA_p90 (passing_p90),A-xA_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),CrsPA_p90 (passing_p90),Prog Passes_p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Press_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Ground_p90 (passing_types_p90),Low_p90 (passing_types_p90),High_p90 (passing_types_p90),Left_p90 (passing_types_p90),Right_p90 (passing_types_p90),Head_p90 (passing_types_p90),TI_p90 (passing_types_p90),Other_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Outcomes Out_p90 (passing_types_p90),Int_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),#Pl_p90 (possession_p90),Megs_p90 (possession_p90),Carries_p90 (possession_p90),TotDist Carried_p90 (possession_p90),PrgDist Carried_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Targ_p90 (possession_p90),Rec_p90 (possession_p90),Receiving Prog_p90 (possession_p90),Prog Actions (possession_p90),Prog Actions_p90 (possession_p90),KP_p90 (possession_p90),Passes into Final 1/3_p90 (possession_p90),Passes into Penalty Area_p90 (possession_p90),Prog Passes_p90 (possession_p90),xA_p90 (possession_p90),Prog Passes_p90 per 50 passes (possession_p90),Gls_p90 (possession_p90),Sh_p90 (possession_p90),SoT_p90 (possession_p90),npxG_p90 (possession_p90),npxG/Sh_p90 (possession_p90),Press_p90 (possession_p90),Succ Pressures_p90 (possession_p90),Aerial Win % (possession_p90),% of Dribblers Tackled (possession_p90),Padj Tkl+Int p90 (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),Dist_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),TMPosition
548,548,549.0,Aaron Connolly,IRL,FW,Brighton,Premier League,22.0,2000.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,15.88,2.94,2.35,6.47,7.06,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.59,4.12,0.0,0.59,0.0,0.0,0.0,0.0,0.0,4.12,0.0,4.12,8.82,10.59,124.71,5.88,5.29,6.47,3.53,4.12,0.0,0.0,0.0,0.24,-0.24,0.59,0.0,0.0,0.0,0.0,10.59,10.0,0.59,0.0,0.0,3.53,0.0,0.59,0.0,0.0,0.0,0.0,8.82,1.76,0.0,0.59,8.82,0.0,0.0,1.18,8.82,0.0,0.0,0.59,0.59,90.0,6.94,1.08,7.39,0.54,0.09,1.35,0.18,0.11,1.53,1.89,-0.36,0.03,1.36,1.23,0.14,0.06,20.0,0.0,0.0,8.24,12.35,2.35,19.41,0.0,0.59,0.0,0.0,12.94,77.65,24.71,1.76,0.0,0.0,1.76,0.59,38.24,12.94,4.12,3.0,1.76,0.59,0.0,0.0,0.0,0.24,0.0,0.0,1.18,0.0,0.29,0.14,15.88,2.94,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.29,0.29,0.14,-0.29,-0.29,Centre-Forward
582,582,583.0,Aaron Cresswell,ENG,DF,West Ham,Premier League,32.0,1989.0,27.3,1.06,0.66,0.73,0.26,0.07,0.51,0.95,0.44,6.74,2.16,3.33,2.38,1.03,1.61,0.59,0.0,1.03,1.5,2.56,2.16,0.0,2.33,1.72,0.92,0.73,0.0,0.07,0.0,0.0,0.18,0.07,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.0,0.0,0.66,0.4,0.07,2.09,1.5,0.66,0.0,0.04,0.0,8.06,1.14,0.99,55.13,69.01,1006.01,427.55,24.47,26.52,23.81,27.11,6.23,13.04,0.11,0.1,0.01,1.25,4.21,0.81,0.29,5.42,69.01,57.11,11.9,1.98,0.0,7.07,1.65,2.09,1.87,0.48,1.39,0.0,42.42,11.87,14.73,54.32,3.96,1.61,8.06,0.26,55.13,0.33,1.03,1.94,1.98,91.76,45.88,1.18,45.88,0.0,0.0,0.0,0.0,1.18,1.76,1.18,0.59,0.38,1.53,1.53,0.0,0.15,76.78,4.36,23.19,36.89,20.95,0.95,64.8,0.11,0.48,0.11,0.11,46.74,202.38,102.23,3.77,1.68,0.07,0.29,0.4,51.1,49.08,0.95,251.0,9.19,1.25,4.21,0.81,5.42,0.1,4.92,0.07,0.59,0.11,0.04,0.0,6.74,2.16,53.4,53.8,2.33,0.07,0.59,0.11,0.0,0.02,0.75,0.29,0.0,0.0,0.04,0.04,0.0,0.04,0.04,Left-Back
1161,1161,1162.0,Aaron Hickey,SCO,DF,Bologna,Serie A,19.0,2002.0,29.3,1.54,0.78,0.85,0.41,0.27,0.55,0.92,0.38,12.97,3.58,6.25,4.47,2.25,2.05,0.48,0.0,1.57,1.16,2.7,1.43,0.0,2.74,1.26,1.06,0.03,0.07,0.0,0.07,0.03,0.14,0.14,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,1.43,2.46,0.1,1.13,1.16,0.78,0.0,0.0,0.0,5.77,0.55,1.3,33.58,41.19,520.72,164.98,18.09,19.86,13.07,16.01,1.84,3.55,0.03,0.04,-0.01,0.55,0.99,0.61,0.2,1.6,41.19,32.8,8.4,0.68,0.03,6.86,0.27,1.13,0.0,0.0,0.0,0.0,27.03,8.09,6.08,19.01,13.11,1.02,7.71,0.07,33.58,0.07,0.34,1.13,1.02,90.58,5.65,0.87,10.87,0.58,1.45,2.61,2.32,0.1,1.01,1.74,-0.72,-0.0,1.29,1.43,-0.13,-0.03,52.22,3.04,16.62,23.52,15.56,0.99,44.1,0.92,1.77,1.16,0.07,33.31,170.38,93.45,4.13,1.33,0.31,1.06,0.85,36.11,31.23,2.42,168.0,5.73,0.55,0.99,0.61,1.6,0.04,2.38,0.17,0.72,0.44,0.04,0.0,12.97,3.58,29.6,59.3,2.74,0.17,0.72,0.44,0.01,0.01,0.72,0.0,0.0,0.0,0.04,0.04,0.0,0.13,0.13,Left-Back
1481,1481,1482.0,Aaron Lennon,ENG,MF,Burnley,Premier League,35.0,1987.0,16.0,2.31,1.06,0.81,0.94,0.56,0.56,2.44,1.88,20.88,4.94,6.0,8.19,6.69,1.69,0.25,0.0,1.44,0.69,3.0,0.69,0.0,1.56,1.81,1.12,0.0,0.31,0.0,0.38,0.0,0.31,0.06,0.0,0.12,0.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,1.44,1.31,0.25,1.81,0.69,1.06,0.0,0.06,0.0,5.25,0.62,1.5,14.56,22.19,217.31,49.44,9.06,11.44,4.12,6.06,1.06,2.62,0.0,0.03,-0.03,0.62,0.5,0.31,0.12,0.94,22.19,21.81,0.38,0.0,0.0,3.69,0.56,1.81,0.06,0.06,0.0,0.0,14.31,3.44,4.44,2.0,18.62,0.88,0.19,0.0,14.56,0.19,0.44,0.81,2.0,89.94,2.72,1.04,2.72,0.66,0.0,0.0,0.0,0.04,1.27,1.42,-0.16,-0.02,1.15,1.41,-0.26,-0.01,32.5,1.31,5.38,13.12,15.75,2.94,32.12,0.94,2.31,1.12,0.06,21.31,106.81,56.56,3.44,0.81,1.12,1.06,1.0,28.06,20.12,2.88,70.0,4.38,0.62,0.5,0.31,0.94,0.03,3.23,0.12,0.62,0.19,0.06,0.01,20.88,4.94,29.4,23.1,1.56,0.12,0.62,0.19,0.01,0.04,1.23,0.0,0.0,0.0,0.06,0.06,0.01,0.06,0.06,Right Winger
2169,2169,2170.0,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,23.0,1998.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,0.0,0.03,23.57,34.33,671.83,408.8,5.6,5.67,10.43,10.63,7.4,17.87,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,34.33,26.33,8.0,2.3,0.0,2.6,1.0,0.0,0.0,0.0,0.0,0.0,18.2,1.33,14.8,2.4,25.47,0.03,0.03,4.8,23.57,0.1,1.3,0.57,0.07,90.0,15.0,1.0,15.0,1.0,0.0,0.0,3.83,0.36,2.17,1.0,1.17,0.03,2.05,0.8,1.23,0.09,37.03,29.7,36.73,0.4,0.0,0.0,29.17,0.03,0.03,0.03,0.0,20.43,107.6,56.93,0.0,0.0,0.0,0.0,0.0,18.03,17.9,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
2170,2170,2171.0,Aaron Ramsey,WAL,MF,Juventus,Serie A,31.0,1990.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,2.1,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.91,0.91,0.0,0.0,1.82,0.0,0.0,0.0,0.0,3.64,0.0,0.0,54.55,60.91,1070.91,249.09,22.73,25.45,22.73,24.55,9.09,10.91,0.0,0.09,-0.09,1.82,4.55,0.0,0.0,3.64,60.91,57.27,3.64,2.73,0.0,8.18,1.82,0.0,0.0,0.0,0.0,0.0,47.27,6.36,7.27,26.36,30.91,3.64,0.0,0.0,54.55,0.0,0.0,1.82,0.0,91.5,11.5,1.0,26.5,0.0,3.0,6.5,11.0,0.5,0.0,2.5,-2.5,-1.12,0.75,1.45,-0.7,-0.23,62.73,1.82,16.36,37.27,10.0,1.82,60.0,0.0,0.0,0.0,0.0,42.73,140.91,56.36,1.82,0.91,0.0,0.91,0.91,55.45,53.64,1.82,6.0,5.46,1.82,4.55,0.0,3.64,0.09,3.34,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Midfield
2758,2758,2759.0,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,24.0,1997.0,19.9,2.31,1.26,1.31,0.65,0.35,0.35,0.9,0.55,11.31,3.22,5.33,3.92,2.06,2.81,0.75,0.05,2.06,2.56,4.87,2.41,0.0,5.57,1.56,1.26,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.95,0.85,0.05,1.11,2.56,1.26,0.0,0.05,0.0,8.24,0.95,1.56,46.68,55.93,694.32,233.12,27.79,30.4,15.03,17.34,2.41,4.42,0.0,0.05,-0.05,0.7,2.16,0.6,0.35,2.66,55.93,46.88,9.05,0.55,0.0,7.04,1.01,1.11,0.0,0.0,0.0,0.0,39.4,11.56,4.97,3.52,42.11,1.21,8.49,0.0,46.68,0.1,0.5,2.56,1.81,91.67,18.33,1.67,8.33,0.0,6.67,21.67,6.67,3.33,1.67,1.67,0.0,-0.43,1.67,1.5,0.0,-0.13,68.49,4.22,23.57,30.85,18.49,1.31,59.55,1.81,2.91,1.91,0.25,43.22,200.65,112.76,4.72,1.66,0.2,0.55,1.41,44.27,40.2,1.86,147.0,7.38,0.7,2.16,0.6,2.66,0.05,2.85,0.0,0.25,0.05,0.01,0.0,11.31,3.22,38.0,38.9,5.57,0.0,0.25,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Right-Back
815,815,816.0,Aarón Escandell,ESP,GK,Granada,La Liga,26.0,1995.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,22.5,39.06,913.75,689.69,4.06,4.06,4.38,5.0,13.75,29.69,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,39.06,22.5,16.56,5.0,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,9.38,1.88,27.81,3.75,26.56,0.31,0.0,4.06,22.5,0.0,1.25,0.94,0.0,90.23,4.54,1.03,4.77,0.75,0.11,2.13,0.0,0.14,3.16,0.98,2.18,0.04,2.66,1.03,1.62,0.01,42.19,36.88,41.56,0.62,0.0,0.0,25.94,0.0,0.0,0.0,0.0,14.38,89.06,54.69,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
1645,1645,1646.0,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25.0,1997.0,23.5,2.3,1.23,1.36,0.72,0.21,0.81,1.83,1.02,15.45,5.15,6.0,6.77,2.68,1.32,0.17,0.0,1.15,1.23,3.53,1.83,0.0,2.88,2.64,1.4,1.11,0.0,0.09,0.04,0.0,0.13,0.04,0.09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.0,0.0,1.32,0.64,0.0,3.02,1.23,1.23,0.0,0.0,0.0,6.89,0.6,1.11,30.38,43.57,593.91,241.57,13.23,15.02,11.83,14.85,5.02,12.3,0.04,0.17,-0.12,2.0,2.13,1.06,0.72,2.94,43.57,33.79,9.79,1.28,0.04,5.11,2.21,3.02,3.83,2.0,1.45,0.09,22.72,7.57,13.28,35.19,2.34,0.98,4.68,0.09,30.38,0.21,0.47,1.87,1.62,89.95,3.22,1.09,4.04,0.05,0.44,1.15,0.05,0.09,1.42,1.2,0.22,-0.01,1.37,1.02,0.35,0.02,52.94,1.87,14.47,22.98,18.3,0.94,43.02,1.28,2.0,1.4,0.0,29.96,133.66,67.96,2.47,0.89,0.04,0.77,0.68,32.47,28.6,1.36,127.0,5.41,2.0,2.13,1.06,2.94,0.17,4.84,0.04,0.72,0.17,0.03,0.0,15.45,5.15,35.0,44.2,2.88,0.04,0.72,0.17,0.0,0.01,0.93,0.21,0.0,0.0,0.03,0.03,0.0,0.01,0.01,Left-Back
1240,1240,1241.0,Abdel Jalil Medioub,ALG,DF,Bordeaux,Ligue 1,24.0,1997.0,6.9,2.17,1.16,1.01,1.16,0.0,0.72,0.87,0.14,6.81,2.46,4.49,1.74,0.58,1.45,0.72,0.0,0.72,2.32,4.49,4.49,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.58,0.14,0.0,0.0,2.32,1.16,0.0,0.0,0.0,8.26,1.74,0.58,33.77,41.3,723.62,247.97,9.86,11.59,17.68,19.42,5.94,9.71,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.59,41.3,40.43,0.87,0.72,0.14,3.77,1.16,0.0,0.0,0.0,0.0,0.0,30.14,3.48,7.68,3.77,34.06,2.61,0.14,0.0,33.77,0.0,0.87,0.72,0.29,90.0,2.82,1.02,3.29,0.55,0.24,0.71,0.04,0.07,1.53,1.22,0.31,-0.04,1.53,1.0,0.53,0.01,52.17,7.97,36.09,17.54,0.72,0.43,51.45,0.58,0.58,0.58,0.0,30.29,111.59,69.28,1.3,0.14,0.0,0.58,0.14,31.88,31.74,0.0,20.0,2.89,0.0,1.16,0.0,1.59,0.0,2.35,0.0,0.43,0.0,0.01,0.0,6.81,2.46,75.0,83.3,3.82,0.0,0.43,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Centre-Back
