Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_p90),TklW_p90 (defense_p90),Def 3rd_p90 (defense_p90),Mid 3rd_p90 (defense_p90),Att 3rd_p90 (defense_p90),Challenges Tkl_p90 (defense_p90),Att_p90 (defense_p90),Lost_p90 (defense_p90),Blocks_p90 (defense_p90),Shots Blocked_p90 (defense_p90),Pass_p90 (defense_p90),Int_p90 (defense_p90),Tkl+Int_p90 (defense_p90),Clr_p90 (defense_p90),Err_p90 (defense_p90),True Interceptions_p90 (defense_p90),Shots Blocked_p90.1 (defense_p90),Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Challenges Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Lost_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),Percent of Dribblers Tackled (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),TO_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types TO_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Aerial Win Rate (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xAG_p90 (passing_p90),xA_p90 (passing_p90),A-xAG_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),Crosses into Penalty Area_p90 (passing_p90),Prog Passes_p90 (passing_p90),Prog Passes_p90 per 50 passes (passing_p90),KP p90 per 50 passes (passing_p90),xA per KP p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),TI_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Tkld_p90 (possession_p90),Carries_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Rec_p90 (possession_p90),PrgR_p90 (possession_p90),Prog Carries_p90 per 100 touches (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),Average Shot Distance (shooting_p90),Starts_p90 (stats_p90),Min_p90 (stats_p90),Gls_p90 (stats_p90),Ast_p90 (stats_p90),G+A_p90 (stats_p90),G-PK_p90 (stats_p90),PK_p90 (stats_p90),PKatt_p90 (stats_p90),CrdY_p90 (stats_p90),CrdR_p90 (stats_p90),xG_p90 (stats_p90),npxG_p90 (stats_p90),xAG_p90 (stats_p90),npxG+xAG_p90 (stats_p90),PrgC_p90 (stats_p90),PrgP_p90 (stats_p90),Prog Passes Received_p90 (stats_p90),G+A-PK_p90 (stats_p90),xG+xAG_p90 (stats_p90),TMPosition
613,Aaron Cresswell,ENG,DF,West Ham,Premier League,33,1989,24.8,0.85,0.44,0.48,0.28,0.08,0.48,1.25,0.77,0.85,0.44,0.4,1.09,1.94,2.26,0,1.94,0.44,0.85,0.44,0.48,0.28,0.08,0.48,1.25,0.77,0.85,0.44,0.4,1.09,1.94,2.26,0,1.21,38.7,2.94,1.73,1.09,0,0.08,0.04,0,0.04,0,0.04,0,0,0,0,0.12,0,0,0.36,0.36,0.08,5.36,1.09,0.44,0,0,0,4.84,1.13,1.09,50.9,45.44,58.39,25.24,27.02,15.6,20.04,4.03,8.31,0.04,0.15,0.12,-0.11,1.61,3.67,1.13,0.6,5.85,6.44,1.77,0.07,58.39,46.65,11.61,1.61,0.04,0.2,5.36,7.74,2.26,0.2,1.77,0.04,45.44,0.12,1.41,90.11,2.81,1.05,2.98,0.95,0.07,0.46,0.07,0.04,0.95,1.44,-0.49,0,1.09,1.36,-0.28,0,64.8,3.91,20.44,26.94,17.66,0.52,64.8,0.28,0.08,0.16,30.89,1.41,1.05,0.04,0.24,0.24,38.71,3.31,2.18,0,0.36,0.04,0,0,0.16,0,0,0.01,0.01,0,-0.01,-0.01,22.5,0.97,90.12,0,0.04,0.04,0,0,0,0.12,0,0.01,0.01,0.15,0.16,1.41,5.85,3.31,0,0.01,Left-Back
1192,Aaron Hickey,SCO,DF,Brentford,Premier League,20,2002,21.3,1.78,1.22,1.27,0.52,0,0.85,1.5,0.66,0.85,0.33,0.52,0.8,2.58,1.5,0.05,1.65,0.33,1.78,1.22,1.27,0.52,0,0.85,1.5,0.66,0.85,0.33,0.52,0.8,2.58,1.5,0.05,1.8,56.3,0.94,0.66,0.05,0.05,0.09,0.09,0,0.09,0.05,0,0,0.05,0,0,0.33,0,0,0.94,1.64,0.05,1.27,0.8,1.22,0,0.05,0,5.21,0.66,1.03,38.9,32.63,39.34,17.51,19.3,12.44,14.55,2.16,3.76,0.05,0.02,0.03,0.03,0.28,2.91,0.61,0.19,3.8,5.82,0.43,0.11,39.34,34.88,4.37,0.52,0.09,0.05,1.27,3.85,0,0,0,0,32.63,0.09,0.8,90.04,3.01,1.03,3.2,0.7,0.07,0.11,0,0.06,1.07,0.92,0.15,0.04,1.01,0.94,0.07,0.05,48.26,2.21,15.4,23.43,9.91,0.99,48.26,2.11,0.8,0.85,28.92,1.92,0.8,0.14,0.75,0.61,29.3,2.21,3.98,0,0.52,0.09,0,0,0,0,0,0.02,0.02,0,-0.02,-0.02,21.5,1.08,89.95,0,0.05,0.05,0,0,0,0.33,0,0.02,0.02,0.02,0.04,1.92,3.8,2.21,0,0,Left-Back
2192,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,25,1998,38,0.03,0.03,0.03,0,0,0.03,0.03,0,0,0,0,0,0.03,0.53,0.16,0,0,0.03,0.03,0.03,0,0,0.03,0.03,0,0,0,0,0,0.03,0.53,0.16,0.04,100,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.11,0,0,0,0.03,0,0,0,0.87,0.16,0,100,20.03,29.24,5,5.16,10.08,10.26,4.89,13.66,0,0,0,0,0,0.79,0.05,0,0.21,0.52,0,,29.24,22.95,6.24,2.18,0,0.16,0,0.03,0,0,0,0,20.03,0.05,0.08,90.14,3.47,1.11,4.93,0.49,0.69,1.11,0.83,0.08,1.25,1.67,-0.42,-0.03,1.33,1.51,-0.17,0,31.47,22.95,30.79,0.74,0,0,31.47,0.03,0.03,0,19,0,0.03,0,0,0,16.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.21,0,0,0,Goalkeeper
2193,Aaron Ramsey,WAL,MF,Nice,Ligue 1,32,1990,17.6,2.67,1.42,1.02,1.08,0.57,0.91,2.22,1.31,1.42,0.23,1.19,0.97,3.64,1.02,0.06,2.39,0.23,2.67,1.42,1.02,1.08,0.57,0.91,2.22,1.31,1.42,0.23,1.19,0.97,3.64,1.02,0.06,3.95,41,3.52,2.39,0.8,0,0.28,0.06,0,0.23,0.11,0.06,0,0,0.06,0,0.17,0,0,1.31,1.02,0.17,3.52,0.97,1.42,0.06,0,0,6.53,0.34,0.68,33.3,51.99,61.82,22.61,24.49,21.7,25.23,5.68,9.03,0.06,0.1,0.11,-0.05,1.59,5,1.14,0.17,7.16,6.89,1.53,0.07,61.82,56.7,5,2.1,0.28,0.62,3.52,0.34,2.56,0.91,1.02,0,51.99,0.11,0.57,90.04,3.1,1.03,3.53,0.52,0.22,1.12,0.04,0.06,1.25,1.03,0.22,0.02,1,0.97,0.02,0,72.67,2.44,11.82,41.08,20.51,2.84,72.67,1.36,0.8,0.28,55.68,1.65,1.93,0.45,1.36,1.82,51.25,4.77,2.27,0.06,1.25,0.34,0,0.01,0.06,0,0,0.14,0.14,0.01,-0.09,-0.09,15.3,1.02,90,0.06,0.06,0.11,0.06,0,0,0.17,0,0.14,0.14,0.1,0.24,1.65,7.16,4.77,0.01,0.01,Central Midfield
2776,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,25,1997,15.9,2.52,1.57,1.26,1.07,0.19,1.45,1.57,0.13,1.51,0.5,1.01,1.38,3.9,2.58,0,2.89,0.5,2.52,1.57,1.26,1.07,0.19,1.45,1.57,0.13,1.51,0.5,1.01,1.38,3.9,2.58,0,4.61,92,1.89,1.82,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,0.13,0,0,0.69,0.13,0,0.88,1.38,1.57,0,0,0,4.59,0.82,1.07,43.3,44.4,52.83,28.18,30.38,12.2,15.09,1.76,2.77,0,0.06,0.06,-0.06,0.94,3.02,0.63,0.13,3.46,3.9,1.06,0.06,52.83,44.97,7.74,0.25,0.13,0.13,0.88,7.48,0,0,0,0,44.4,0.13,1.38,89.94,2.98,1.07,3.82,0.17,0.62,1.57,0.39,0.09,1.12,0.84,0.28,0.02,1.26,1.28,-0.02,-0.01,64.53,4.72,21.76,25.16,17.99,2.77,64.53,2.2,1.07,1.13,32.96,2.58,1.51,0.25,0.88,0.63,37.74,4.03,4,0,0.63,0.13,0,0,0,0,0,0.08,0.08,0.01,-0.08,-0.08,14.7,1.01,90.25,0,0,0,0,0,0,0.13,0,0.08,0.08,0.06,0.14,2.58,3.46,4.03,0,0.01,Right-Back
2863,Aaron Zehnter,GER,DF,Augsburg,Bundesliga,18,2004,0,,,,,,,inf,inf,,,,inf,inf,,,,,,,,,,,inf,inf,,,,inf,inf,,,inf,0,,,,,,,,,,,,,,,,,,,,,,inf,,,,,,,,0,,inf,,,,inf,,inf,,,,,,,,,,,,,inf,inf,,,,,,,,,,,,,,93.33,15.83,0.83,55,0,4.17,7.5,18.33,0.69,0,3.33,-3.33,-2.07,0.08,2.58,-2.5,-1.72,inf,,inf,inf,,,inf,,,,,,,,,,,,,,,,,,,,,,,,,,0,,inf,,,,,,,,,,,,,,,,,,Left-Back
1675,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,26,1997,20.5,2.05,1.32,1.22,0.54,0.29,1.02,1.95,0.93,1.07,0.05,1.02,0.73,2.78,1.51,0,1.8,0.05,2.05,1.32,1.22,0.54,0.29,1.02,1.95,0.93,1.07,0.05,1.02,0.73,2.78,1.51,0,2.07,52.5,2.88,1.9,0.88,0.05,0.05,0,0,0.24,0.2,0.05,0,0,0,0,0.15,0,0,1.37,0.59,0.1,7.07,0.73,1.32,0,0,0,5.07,0.05,0.63,7.1,37.12,50.15,18.78,20.68,13.8,17.37,3.56,9.12,0.15,0.14,0.17,0.01,1.32,3.32,1.41,0.78,4.2,5.66,1.78,0.13,50.15,35.61,14.29,1.9,0,0.2,7.07,9.51,2.88,2.05,0.78,0,37.12,0.24,1.41,90.5,8.25,1,17,0.5,1.75,3.25,2,0.2,0.25,2,-1.75,-0.44,0.72,1.7,-0.98,-0.24,58.15,2.29,14.78,25.51,18.54,0.68,58.1,1.02,0.49,0.39,28.39,1.22,0.93,0.15,0.73,0.68,30.29,2.98,2.1,0.24,0.88,0.34,0.01,0.03,0.39,0,0.05,0.11,0.07,0,0.14,0.18,25.9,0.98,90.1,0.24,0.15,0.39,0.24,0,0.05,0.15,0,0.11,0.07,0.14,0.2,1.22,4.2,2.98,0.02,0.01,Left-Back
2449,Abdallah Sima,SEN,FW,Angers,Ligue 1,21,2001,20.4,1.08,0.64,0.2,0.74,0.15,0.34,0.93,0.59,0.39,0,0.39,0.2,1.27,0.93,0,0.59,0,1.08,0.64,0.2,0.74,0.15,0.34,0.93,0.59,0.39,0,0.39,0.2,1.27,0.93,0,1.04,36.8,1.67,1.18,0,0.05,0.2,0.25,0,0.34,0.1,0,0.05,0.05,0.15,0,0,0,0,1.57,1.18,0.59,0.78,0.2,0.64,0.05,0.05,0.05,2.55,2.11,3.09,40.6,13.43,18.33,6.96,8.92,4.12,5.69,0.39,0.83,0.05,0.11,0.06,-0.06,0.78,0.88,0.29,0.05,1.03,3.83,2.9,0.08,18.33,16.37,1.91,0,0.05,0.05,0.78,0.29,0,0,0,0,13.43,0.05,0.74,85,21.67,0,0,0,6.67,21.67,8.33,0.83,0,3.33,-3.33,-3.83,1.5,1.5,0.17,1.2,28.87,1.13,2.65,13.28,13.77,3.82,28.87,2.45,1.03,1.23,19.8,1.86,1.23,0.83,2.94,1.52,20.78,6.86,6.44,0.25,1.91,0.49,0.01,0.02,0,0,0,0.24,0.24,0.01,0.01,0.01,12.7,0.93,90,0.25,0.05,0.29,0.25,0,0,0,0,0.24,0.24,0.11,0.34,1.86,1.03,6.86,0.01,0.02,Right Winger
2319,Abdelhamid Sabiri,MAR,"MF,FW",Sampdoria,Serie A,26,1996,11.9,1.51,0.59,0.42,0.76,0.34,0.34,1.09,0.76,1.51,0.34,1.18,0.17,1.68,0.42,0,1.68,0.34,1.51,0.59,0.42,0.76,0.34,0.34,1.09,0.76,1.51,0.34,1.18,0.17,1.68,0.42,0,1.4,30.8,3.45,1.85,0.59,0.25,0.34,0.42,0,0,0,0,0,0,0,0,0.42,0,0,2.35,3.28,0,4.54,0.17,0.59,0,0,0,4.2,2.52,2.44,50.8,26.05,38.74,11.85,15.13,9.92,13.61,3.28,7.14,0,0.12,0.1,-0.12,1.18,3.7,1.01,0,4.12,7.91,2.26,0.08,38.74,32.77,5.8,2.77,0.25,0.67,4.54,0.25,2.69,0.76,1.6,0,26.05,0.17,0.92,89.7,6.44,0.99,8.32,0.79,0.4,1.58,0.89,0.12,0.89,1.29,-0.4,-0.03,0.68,1.31,-0.62,-0.04,51.93,1.26,5.38,25.55,21.6,2.61,51.76,3.28,1.18,1.43,30.5,0.59,1.68,0.42,2.86,2.35,35.55,4.54,1.14,0.17,2.61,0.76,0,0.01,0.67,0.08,0.17,0.25,0.12,0,-0.08,-0.03,25.5,1.01,89.75,0.17,0,0.17,0.08,0.08,0.17,0.42,0,0.25,0.12,0.12,0.24,0.59,4.12,4.54,0.01,0.03,Attacking Midfield
868,Abdessamad Ezzalzouli,MAR,"FW,MF",Osasuna,La Liga,21,2001,16.7,1.74,1.14,0.78,0.72,0.24,0.78,1.38,0.6,1.2,0,1.2,0.24,1.98,0.36,0,1.44,0,1.74,1.14,0.78,0.72,0.24,0.78,1.38,0.6,1.2,0,1.2,0.24,1.98,0.36,0,1.81,56.5,3.47,1.62,0.3,1.08,0.24,0.18,0.06,0.24,0.24,0,0,0,0,0,0.24,0.12,0.06,1.62,2.04,0.12,4.55,0.24,1.14,0,0,0,4.25,0.18,1.02,15,21.86,32.87,13.29,16.05,6.41,9.82,1.44,3.05,0.12,0.11,0.23,0.01,0.72,0.78,1.44,0.54,2.63,6.02,1.65,0.32,32.87,30.9,1.56,0.18,0.18,0.3,4.55,0.96,0.42,0.06,0.12,0,21.86,0.42,1.98,85,85,0,0,0,2.5,85,12.5,2.5,0,2.5,-2.5,-5.82,0.25,2.75,-2.5,-6.42,48.68,0.24,4.37,17.19,28.32,3.95,48.68,7.01,3.53,2.51,33.23,5.57,3.59,2.69,3.83,2.28,36.29,8.14,11.44,0.24,2.4,0.96,0.01,0.01,0.12,0,0,0.16,0.16,0,0.08,0.08,19.1,1.14,90.06,0.24,0.12,0.36,0.24,0,0,0.24,0.12,0.16,0.16,0.11,0.28,5.57,2.63,8.14,0.02,0.02,Left Winger
