Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),AvgDist (keepersadv_p90),TMPosition
1,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,1,0.4,1,10,20,70,30,257,10,240,10,0,20,0,130,0,30,30,0,0,0,0,0,0,0,0,33,Goalkeeper
2,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,8,7,675,7.5,0.8,0,0,0,0,0.73,0.04,-0.07,4.93,13.47,23.87,4.4,4.07,8.27,7.39,12.8,1.47,1.33,0.93,90,0.8,2.53,1.73,0.13,0.4,0.4,0.27,0,0,0,0,15.4,Goalkeeper
3,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,20,2002,6,4,406,4.5,1.78,0.22,0,0.44,0,1.44,0.06,-0.33,5.11,14.89,24.22,3.11,7.33,7.78,11.42,16.67,1.11,1.11,0.89,90.22,1.78,3.56,1.56,0.44,0,0.44,0.22,0.44,0.22,0.22,0,14.8,Goalkeeper
4,Alisson,BRA,GK,Liverpool,Premier League,30,1992,37,37,3330,37,1.16,0.05,0,0,0.05,1.38,0.01,0.27,3.14,7.65,33.95,5.68,0.73,5.22,0.85,10.73,0.62,2.41,1,90,1.16,3.97,2.84,0.51,0.24,0.24,0.38,0.11,0.05,0.03,0.03,19.8,Goalkeeper
5,Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,5,2,309,3.4,2.06,0.59,0,0.29,0,2.15,0.1,0.09,4.12,10.88,17.94,4.12,9.82,8.82,9.71,13.82,0.59,0.29,0.59,90.88,2.06,4.71,2.65,0,0.29,0.29,0.29,0.59,0.59,0,0,10.3,Goalkeeper
6,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,28,1994,29,29,2565,28.5,1.16,0.04,0.04,0.14,0.11,1.23,0.01,0.18,2.39,7.47,30.32,5.3,0.92,6.39,1.11,11.65,0.53,1.82,1.02,90,1.16,4.21,3.16,0.28,0.32,0.42,0.32,0.04,0.04,0,0,16.9,Goalkeeper
7,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10,10,900,10,2.1,0.1,0.1,0,0,1.68,0.03,-0.42,5.8,16.2,26,4.6,3.58,9.2,5.12,16.6,0.5,1.7,1,90,2.1,5.1,3,0.2,0.2,0.6,0.1,0.1,0.1,0,0,16.1,Goalkeeper
8,Emil Audero,ITA,GK,Sampdoria,Serie A,26,1997,25,25,2250,25,1.56,0.2,0,0.16,0.08,1.29,0.01,-0.19,6.36,17.64,28.56,4.16,1.56,8,1.77,14.24,0.96,0.92,1,90,1.56,4.84,3.28,0.08,0.24,0.68,0.16,0.28,0.2,0.08,0,13.9,Goalkeeper
9,Édgar Badía,ESP,GK,Elche,La Liga,31,1992,36,36,3240,36,1.75,0.19,0,0.11,0.06,1.93,0.01,0.24,5.31,11.72,21.44,4.61,0.95,8.22,1.16,15.94,0.58,0.56,1,90,1.75,5.56,3.78,0.14,0.28,0.58,0.11,0.28,0.19,0.08,0,12.7,Goalkeeper
10,Francesco Bardi,ITA,GK,Bologna,Serie A,31,1992,1,1,90,1,0,0,0,0,0,0.6,0.16,0.6,5,9,13,5,35.6,9,33.4,10,0,0,1,90,0,4,4,1,0,0,1,0,0,0,0,0,Goalkeeper
